adversary_loss_weight,accuracy,pct_predicted_favorable
0.1,0.33,0.15
0.05,0.7333333333333333,0.6266666666666667
0.02,0.7666666666666667,0.7
0.01,0.7633333333333333,0.73
0.005,0.7633333333333333,0.73
