,SPD,DI,EOD,PED,Acc
NONE,-0.015873015873015928,0.9792746113989637,-0.009523809523809601,0.08611111111111114,0.7433333333333333
DIR only,0.008928571428571508,1.01171875,-0.020634920634920673,0.1777777777777778,0.7566666666666667
AL only,0.21230158730158732,1.3203592814371259,0.15873015873015872,0.4444444444444444,0.7566666666666667
EO only,0.11507936507936511,1.1812500000000001,0.14603174603174596,0.15555555555555556,0.6666666666666666
DIR+AL+EO,0.06547619047619047,1.0901639344262295,0.04841269841269846,0.21944444444444444,0.75
